ACCOUNT NUMBER,CURRENT BALANCE,AMOUNT,TYPE
2197594279,80000,20000,WITHDRAW
2197594279,90000,20000,WITHDRAW
2197594279,110000,20000,WITHDRAW
2197594279,20000,20000,DEPOSIT
2197594279,70000,20000,WITHDRAW
2197594279,50000,20000,WITHDRAW
2197594279,30000,20000,WITHDRAW
2197594279,10000,20000,WITHDRAW
2197594279,20000,20000,DEPOSIT
2197594279,19900,100,WITHDRAW
2197594279,19400,500,WITHDRAW
2197594279,14400,5000,WITHDRAW
5353827252,20000,20000,DEPOSIT
5353827252,0,20000,WITHDRAW
5353827252,20000,20000,DEPOSIT
5353827252,20000,20000,DEPOSIT
5353827252,20000,20000,DEPOSIT
5353827252,40000,40000,DEPOSIT
5353827252,20000,20000,DEPOSIT
5353827252,0,20000,WITHDRAW
5353827252,60000,60000,DEPOSIT
5353827252,40000,20000,WITHDRAW
5353827252,20000,20000,WITHDRAW
5353827252,0,20000,WITHDRAW
5353827252,0,20000,WITHDRAW
5353827252,20000,20000,DEPOSIT
5353827252,20000,20000,WITHDRAW
5353827252,0,20000,WITHDRAW
2197594279,20000,20000,DEPOSIT
2197594279,10000,10000,DEPOSIT
2197594279,42200.0,111.0,FUND TRANSFER
2197594279,42089.0,100.0,FUND TRANSFER
2197594279,41989.0,1000.0,FUND TRANSFER
2197594279,41089.0,100.0,FUND TRANSFER
2197594279,40989.0,100.0,FUND TRANSFER
2197594279,40889.0,100.0,FUND TRANSFER
2197594279,20000,20000,DEPOSIT
2197594279,20000,20000,DEPOSIT
